dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
101.5,0.1971,1,3,0,200.78545316540948,39.57481281890221,39.57481281890221
92.5,0.1971,1,3,0,178.47807934598643,35.178029439093926,74.75284225799614
89.5,0.1971,1,3,0,169.87350997126208,33.48206881533576,108.23491107333189
94.5,0.1971,1,4,0,167.66321445624249,33.046419569325394,141.28133064265728
87.5,0.1971,1,3,0,163.86185418612467,32.297171460085174,173.57850210274245
84.5,0.1971,1,3,0,154.49748257146447,30.45145381483565,204.02995591757812
83.5,0.1971,1,3,0,151.2990196723941,29.82103677742888,233.850992695007
82.5,0.3942,1,3,0,148.06916509513204,58.36886488050105,292.21985757550806
81.5,0.3942,1,3,0,144.81247348749864,57.085077048771964,349.30493462428
86.5,0.1971,1,5,0,143.63072989028993,28.309616861376146,377.61455148565614
80.5,0.5913,1,3,0,141.53365831741445,83.68885216308718,461.3034036487433
80.5,0.1971,1,6,0,141.53365831741445,27.896284054362386,489.1996877031057
81.5,0.1971,1,8,0,140.8896059519414,27.76934133312765,516.9690290362333
74.5,0.1971,1,4,0,140.7289090159961,27.73766796705283,544.7066970032862
79.5,0.1971,1,6,0,138.23756547587757,27.246624155295468,571.9533211585816
78.5,0.5913,1,3,0,134.92914521216318,79.7836035639521,651.7369247225338
70.5,0.3942,1,4,0,133.8746310409458,52.77337955634083,704.5103042788746
77.5,0.7884,1,3,0,131.61342273835342,103.76402248691784,808.2743267657925
76.5,0.3942,1,3,0,128.2954678692139,50.57407343404412,858.8484001998365
75.5,0.3942,1,3,0,124.98036408463535,49.26725952216326,908.1156597219998
74.5,0.3942,1,3,0,121.67317741464873,47.96356653685453,956.0792262588543
72.5,0.1971,1,8,0,119.46342721356945,23.546241503794537,979.6254677626489
73.5,0.5913,1,3,0,118.37892555096484,69.99745867828551,1049.6229264409344
73.5,0.1971,1,6,0,118.37892555096484,23.33248622609517,1072.9554126670296
72.5,1.5769,1,3,0,115.10254758395652,181.50520728514104,1254.4606199521706
71.5,0.5913,1,3,0,111.84887475015863,66.1362396397688,1320.5968595919394
71.5,0.3942,1,6,0,111.84887475015863,44.09082642651253,1364.6876860184518
68.5,0.1971,1,8,0,109.14433989637949,21.512349393576397,1386.2000354120282
70.5,0.5913,1,3,0,108.62260255317663,64.22854488969335,1450.4285803017217
69.5,0.3942,1,3,0,105.42826459110975,41.55982190181546,1491.9884022035371
66.5,0.1971,1,8,0,103.8938142976203,20.47747079806096,1512.465873001598
68.5,0.1971,1,3,0,102.27020838718529,20.15745807311422,1532.6233310747123
68.5,0.1971,1,6,0,102.27020838718529,20.15745807311422,1552.7807891478265
53.5,0.1971,1,4,0,100.36280361730843,19.78150859297149,1572.562297740798
65.5,0.1971,1,1,0,99.61200212120046,19.633525618088612,1592.1958233588866
67.5,0.7884,1,3,0,99.15257347844083,78.17188893040274,1670.3677122892893
67.5,0.1971,1,6,0,99.15257347844083,19.542972232600686,1689.91068452189
64.5,0.1971,1,8,0,98.62041184039353,19.438083173741564,1709.3487676956315
64.5,0.1971,1,1,0,97.36546761495703,19.19073366690803,1728.5395013625396
51.5,0.1971,1,4,0,96.10320511984746,18.941941729121933,1747.4814430916615
66.5,0.3942,1,3,0,96.0792719712957,37.874449011084764,1785.3558921027463
63.5,0.1971,1,8,0,95.98422827727407,18.91849139345072,1804.274383496197
65.5,0.7884,1,3,0,93.05397172411416,73.36375130729161,1877.6381348034886
65.5,0.1971,1,6,0,93.05397172411416,18.340937826822902,1895.9790726303115
49.5,0.1971,1,4,0,91.81364385612085,18.09646920404142,1914.075541834353
61.5,0.1971,1,1,0,90.64950071000777,17.86701658994253,1931.9425584242956
64.5,1.5769,1,3,0,90.08008226680869,142.04728172653063,2073.9898401508262
64.5,0.5913,1,6,0,90.08008226680869,53.26435264436398,2127.25419279519
63.5,1.3798,1,3,0,87.16074351754577,120.26439390550965,2247.5185867007
63.5,0.3942,1,6,0,87.16074351754577,34.358765094616544,2281.8773517953164
59.5,0.1971,1,1,0,86.21407335159333,16.992793857599043,2298.870145652915
62.5,1.3798,1,3,0,84.29881730801351,116.31550812159703,2415.1856537745125
62.5,0.1971,1,6,0,84.29881730801351,16.615296891409464,2431.800950665922
58.5,0.3942,1,1,0,84.01540933716343,33.118874360709825,2464.9198250266318
45.5,0.3942,1,4,0,83.19262428560742,32.79453249338645,2497.714357520018
58.5,0.1971,1,8,0,82.9527796818046,16.349992875283686,2514.064350395302
61.5,1.3798,1,3,0,81.4968816826616,112.44939734573646,2626.5137477410385
61.5,0.1971,1,6,0,81.4968816826616,16.0630353796526,2642.576783120691
44.5,0.3942,1,4,0,81.03752205545386,31.944991194259913,2674.521774314951
56.5,0.3942,1,1,0,79.66651294288562,31.40453940208551,2705.9263137170365
43.5,0.1971,1,4,0,78.88553208708157,15.548338374363778,2721.4746520914
60.5,1.1827,1,3,0,78.7572278948555,93.14617343124561,2814.6208255226456
56.5,0.1971,1,8,0,77.87452065808945,15.349068021709432,2829.9698935443553
55.5,0.1971,1,1,0,77.52022985419298,15.279237304261436,2845.2491308486165
59.5,0.7884,1,3,0,76.08185998481984,59.98293841203196,2905.2320692606486
59.5,0.5913,1,6,0,76.08185998481984,44.987203809023974,2950.2192730696725
54.5,0.1971,1,1,0,75.39523844550196,14.860401497608436,2965.079674567281
54.5,0.1971,1,2,0,75.39523844550196,14.860401497608436,2979.9400760648896
55.5,0.1971,1,8,0,75.37711892989638,14.856830141082577,2994.796906205972
58.5,0.5913,1,3,0,73.47249679121111,43.44428735264314,3038.241193558615
58.5,0.3942,1,6,0,73.47249679121111,28.96285823509542,3067.2040517937107
40.5,0.1971,1,4,0,72.46331357428627,14.282519105491824,3081.4865708992024
52.5,0.1971,1,1,0,71.21620072922875,14.036713163730985,3095.5232840629333
52.5,0.1971,1,5,0,71.21620072922875,14.036713163730985,3109.559997226664
57.5,1.3798,1,3,0,70.93057622057518,97.87000906914962,3207.430006295814
57.5,0.3942,1,6,0,70.93057622057518,27.960833146150733,3235.3908394419645
51.5,0.1971,1,1,0,69.16547352406157,13.632514831592536,3249.0233542735573
56.5,1.1827,1,3,0,68.45726157702464,80.96440326714705,3329.987757540704
52.5,0.3942,1,8,0,68.08616838061039,26.839567575636615,3356.827325116341
50.5,0.5913,1,1,0,67.14266755526495,39.70145932542817,3396.528784441769
50.5,0.1971,1,5,0,67.14266755526495,13.233819775142722,3409.7626042169118
37.5,0.3942,1,4,0,66.1226305139632,26.065540948604294,3435.828145165516
55.5,0.3942,1,3,0,66.05344973824404,26.0382698868158,3461.866415052332
55.5,0.3942,1,6,0,66.05344973824404,26.0382698868158,3487.9046849391475
49.5,0.5913,1,1,0,65.149208136686,38.52272677122244,3526.42741171037
49.5,0.1971,1,5,0,65.149208136686,12.84090892374081,3539.2683206341108
36.5,0.5913,1,4,0,64.03382249484267,37.86319924120047,3577.1315198753114
54.5,1.3798,1,3,0,63.71978095324953,87.9205537592937,3665.052073634605
54.5,0.9856,1,6,0,63.71978095324953,62.80221610752274,3727.854289742128
50.5,0.1971,1,8,0,63.41851680107652,12.499789661492182,3740.35407940362
48.5,0.1971,1,1,0,63.186421412059154,12.45404366031686,3752.808123063937
48.5,0.1971,1,2,0,63.186421412059154,12.45404366031686,3765.262166724254
35.5,0.1971,1,4,0,61.95965415044208,12.212247833052134,3777.474414557306
53.5,1.1827,1,3,0,61.45665003190556,72.68477999273472,3850.1591945500404
53.5,0.3942,1,6,0,61.45665003190556,24.22621144257717,3874.3854059926175
47.5,0.1971,1,1,0,61.255532341463905,12.073465424502535,3886.4588714171205
49.5,0.1971,1,8,0,61.14920940691363,12.052509174102676,3898.511380591223
34.5,0.3942,1,4,0,59.901426374046366,23.61314227664908,3922.124522867872
46.5,0.1971,1,1,0,59.357663336020664,11.699395443529673,3933.8239183114015
52.5,0.7884,1,3,0,59.264218695622034,46.72391001962841,3980.54782833103
48.5,0.3942,1,8,0,58.92541264532454,23.228397664786932,4003.776225995817
33.5,0.7884,1,4,0,57.86039773103437,45.617137571147495,4049.3933635669646
45.5,0.1971,1,1,0,57.49383352320851,11.332034587424397,4060.725398154389
51.5,0.7884,1,3,0,57.142428862421795,45.051090915133344,4105.7764890695225
