dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
111.5,0.1971,1,6,0,219.00597289187002,43.16607725698758,43.16607725698758
110.5,0.1971,1,6,0,217.48069020599132,42.86544403960089,86.03152129658847
105.5,0.1971,1,6,0,208.8863665882995,41.17150285455383,127.2030241511423
99.5,0.1971,1,6,0,196.3126784846672,38.69322892932791,165.89625308047022
98.5,0.1971,1,3,0,193.9704426762938,38.231574251497506,204.1278273319677
98.5,0.1971,1,6,0,193.9704426762938,38.231574251497506,242.35940158346523
96.5,0.1971,1,3,0,189.07640662986392,37.26695974674618,279.6263613302114
92.5,0.1971,1,6,0,178.47807934598643,35.178029439093926,314.8043907693053
91.5,0.1971,1,3,0,175.66871057895997,34.62430285511301,349.4286936244183
91.5,0.1971,1,6,0,175.66871057895997,34.62430285511301,384.0529964795313
89.5,0.1971,1,3,0,169.87350997126208,33.48206881533576,417.5350652948671
88.5,0.1971,1,3,0,166.8931869977884,32.894647157264096,450.4297124521312
95.5,0.1971,1,7,0,166.56777300781704,32.83050805984074,483.2602205119719
87.5,0.1971,1,3,0,163.86185418612467,32.297171460085174,515.5573919720571
86.5,0.1971,1,6,0,160.78295318163273,31.690320072099812,547.247712044157
85.5,0.1971,1,6,0,157.66018239242132,31.07482194954624,578.3225339937031
84.5,0.3942,1,3,0,154.49748257146447,60.9029076296713,639.2254416233744
83.5,0.1971,1,3,0,151.2990196723941,29.82103677742888,669.0464784008034
83.5,0.1971,1,6,0,151.2990196723941,29.82103677742888,698.8675151782322
82.5,0.3942,1,3,0,148.06916509513204,58.36886488050105,757.2363800587333
82.5,0.1971,1,6,0,148.06916509513204,29.184432440250525,786.4208124989838
81.5,0.1971,1,3,0,144.81247348749864,28.542538524385982,814.9633510233698
81.5,0.1971,1,6,0,144.81247348749864,28.542538524385982,843.5058895477557
82.5,0.3942,1,7,0,143.0593368949122,56.393990603974395,899.8998801517301
80.5,0.5913,1,3,0,141.53365831741445,83.68885216308718,983.5887323148173
80.5,0.1971,1,6,0,141.53365831741445,27.896284054362386,1011.4850163691797
73.5,0.1971,1,4,0,139.0594123747113,27.408610179055593,1038.8936265482353
79.5,0.1971,1,3,0,138.23756547587757,27.246624155295468,1066.1402507035307
79.5,0.1971,1,6,0,138.23756547587757,27.246624155295468,1093.3868748588263
78.5,0.5913,1,3,0,134.92914521216318,79.7836035639521,1173.1704784227784
78.5,0.1971,1,7,0,134.10285953553938,26.431673614454812,1199.602152037233
77.5,0.3942,1,3,0,131.61342273835342,51.88201124345892,1251.484163280692
77.5,0.1971,1,6,0,131.61342273835342,25.94100562172946,1277.4251689024215
79.5,0.1971,1,1,0,130.09291995408896,25.641314522950932,1303.0664834253726
76.5,0.1971,1,3,0,128.2954678692139,25.28703671702206,1328.3535201423945
76.5,0.3942,1,6,0,128.2954678692139,50.57407343404412,1378.9275935764385
75.5,0.1971,1,3,0,124.98036408463535,24.63362976108163,1403.5612233375202
64.5,0.1971,1,4,0,122.76289495972011,24.196566596560835,1427.757789934081
74.5,0.3942,1,3,0,121.67317741464873,47.96356653685453,1475.7213564709357
74.5,0.1971,1,6,0,121.67317741464873,23.981783268427264,1499.703139739363
62.5,0.1971,1,4,0,118.86088297747116,23.427480034859567,1523.1306197742224
73.5,0.3942,1,3,0,118.37892555096484,46.66497245219034,1569.7955922264127
73.5,0.3942,1,6,0,118.37892555096484,46.66497245219034,1616.460564678603
72.5,0.5913,1,3,0,115.10254758395652,68.0601363863935,1684.5207010649967
72.5,0.1971,1,6,0,115.10254758395652,22.68671212879783,1707.2074131937945
71.5,0.5913,1,3,0,111.84887475015863,66.1362396397688,1773.3436528335633
71.5,0.5913,1,6,0,111.84887475015863,66.1362396397688,1839.479892473332
70.5,0.7884,1,3,0,108.62260255317663,85.63805985292446,1925.1179523262565
70.5,0.1971,1,6,0,108.62260255317663,21.409514963231114,1946.5274672894877
69.5,0.3942,1,3,0,105.42826459110975,41.55982190181546,1988.0872891913032
54.5,0.1971,1,4,0,102.47772135346999,20.198358878768936,2008.285648070072
68.5,0.7884,1,3,0,102.27020838718529,80.62983229245688,2088.915480362529
68.5,0.3942,1,6,0,102.27020838718529,40.31491614622844,2129.230396508757
66.5,0.3942,1,1,0,101.85872366078996,40.152708867083405,2169.383105375841
65.5,0.3942,1,8,0,101.25815726780507,39.91596559496876,2209.2990709708097
65.5,0.1971,1,1,0,99.61200212120046,19.633525618088612,2228.932596588898
67.5,0.7884,1,3,0,99.15257347844083,78.17188893040274,2307.104485519301
67.5,0.9856,1,6,0,99.15257347844083,97.72477642035129,2404.829261939652
52.5,0.3942,1,4,0,98.23748484102717,38.72521652433291,2443.554478463985
64.5,0.3942,1,1,0,97.36546761495703,38.38146733381606,2481.935945797801
51.5,0.3942,1,4,0,96.10320511984746,37.883883458243865,2519.819829256045
66.5,0.3942,1,3,0,96.0792719712957,37.874449011084764,2557.69427826713
66.5,0.1971,1,6,0,96.0792719712957,18.937224505542382,2576.6315027726723
50.5,0.1971,1,4,0,93.96142946591213,18.519797747731282,2595.1513005204033
65.5,0.3942,1,3,0,93.05397172411416,36.681875653645804,2631.833176174049
65.5,0.9856,1,6,0,93.05397172411416,91.71399453128693,2723.547170705336
49.5,0.1971,1,4,0,91.81364385612085,18.09646920404142,2741.6436399093777
61.5,0.1971,1,8,0,90.73108452698473,17.88309676026869,2759.526736669646
64.5,0.5913,1,3,0,90.08008226680869,53.26435264436398,2812.79108931401
64.5,0.3942,1,6,0,90.08008226680869,35.509568429575985,2848.3006577435863
48.5,0.1971,1,4,0,89.66135115604803,17.672252312857065,2865.972910056443
60.5,0.1971,1,8,0,88.12130169021498,17.36870856314137,2883.3416186195846
63.5,0.7884,1,3,0,87.16074351754577,68.71753018923309,2952.0591488088176
63.5,0.3942,1,6,0,87.16074351754577,34.358765094616544,2986.4179139034345
46.5,0.5913,1,4,0,85.34931525540541,50.46705011052123,3036.8849640139556
62.5,0.3942,1,3,0,84.29881730801351,33.23059378281893,3070.1155577967743
62.5,0.7884,1,6,0,84.29881730801351,66.46118756563786,3136.576745362412
58.5,0.1971,1,1,0,84.01540933716343,16.559437180354912,3153.136182542767
58.5,0.1971,1,8,0,82.9527796818046,16.349992875283686,3169.486175418051
61.5,2.1682,1,3,0,81.4968816826616,176.70153886434687,3346.187714282398
57.5,0.1971,1,8,0,80.40075854827506,15.846989509865015,3362.034703792263
60.5,0.9856,1,3,0,78.7572278948555,77.62312381316958,3439.6578276054324
60.5,0.1971,1,6,0,78.7572278948555,15.52304961807602,3455.1808772235086
42.5,0.7884,1,4,0,76.73816910308676,60.500372520873604,3515.681249744382
59.5,0.7884,1,3,0,76.08185998481984,59.98293841203196,3575.664188156414
59.5,0.5913,1,6,0,76.08185998481984,44.987203809023974,3620.651391965438
54.5,0.5913,1,1,0,75.39523844550196,44.581204492825314,3665.2325964582633
41.5,0.1971,1,4,0,74.59693477909111,14.70305584495886,3679.935652303222
58.5,0.5913,1,3,0,73.47249679121111,43.44428735264314,3723.379939655865
54.5,0.1971,1,8,0,72.9114581642136,14.3708484041665,3737.750788060032
40.5,0.3942,1,4,0,72.46331357428627,28.565038210983648,3766.3158262710153
52.5,0.3942,1,1,0,71.21620072922875,28.07342632746197,3794.3892525984775
57.5,0.9856,1,3,0,70.93057622057518,69.9091759229989,3864.298428521476
39.5,0.1971,1,4,0,70.33876866435222,13.863771303743821,3878.16219982522
56.5,0.1971,1,3,0,68.45726157702464,13.492926256831556,3891.6551260820515
56.5,0.9856,1,6,0,68.45726157702464,67.47147701031548,3959.126603092367
38.5,0.5913,1,4,0,68.22473800010525,40.34128757946224,3999.4678906718295
37.5,0.3942,1,4,0,66.1226305139632,26.065540948604294,4025.5334316204335
55.5,1.3798,1,3,0,66.05344973824404,91.14054994882912,4116.673981569263
55.5,0.3942,1,6,0,66.05344973824404,26.0382698868158,4142.712251456079
49.5,0.1971,1,1,0,65.149208136686,12.84090892374081,4155.553160379819
49.5,0.1971,1,2,0,65.149208136686,12.84090892374081,4168.39406930356
36.5,0.7884,1,4,0,64.03382249484267,50.48426565493396,4218.878334958494
54.5,0.3942,1,3,0,63.71978095324953,25.118337651770965,4243.996672610265
54.5,0.5913,1,6,0,63.71978095324953,37.67750647765645,4281.674179087921
48.5,0.5913,1,1,0,63.186421412059154,37.36213098095058,4319.036310068872
48.5,0.1971,1,2,0,63.186421412059154,12.45404366031686,4331.490353729189
35.5,0.5913,1,4,0,61.95965415044208,36.6367434991564,4368.1270972283455
53.5,0.7884,1,3,0,61.45665003190556,48.45242288515434,4416.5795201135
53.5,1.1827,1,6,0,61.45665003190556,72.68477999273472,4489.264300106234
47.5,0.9856,1,1,0,61.255532341463905,60.373452675746826,4549.637752781981
49.5,0.3942,1,8,0,61.14920940691363,24.105018348205352,4573.742771130187
34.5,0.5913,1,4,0,59.901426374046366,35.41971341497362,4609.162484545161
46.5,0.3942,1,1,0,59.357663336020664,23.398790887059345,4632.561275432219
46.5,0.1971,1,2,0,59.357663336020664,11.699395443529673,4644.260670875749
46.5,0.1971,1,5,0,59.357663336020664,11.699395443529673,4655.960066319279
52.5,0.3942,1,3,0,59.264218695622034,23.361955009814206,4679.322021329093
52.5,0.7884,1,6,0,59.264218695622034,46.72391001962841,4726.045931348722
48.5,1.1827,1,8,0,58.92541264532454,69.69108553562535,4795.737016884347
33.5,0.7884,1,4,0,57.86039773103437,45.617137571147495,4841.354154455495
45.5,0.1971,1,1,0,57.49383352320851,11.332034587424397,4852.686189042919
51.5,0.7884,1,3,0,57.142428862421795,45.051090915133344,4897.737279958053
51.5,0.5913,1,6,0,57.142428862421795,33.78831818635001,4931.5255981444025
32.5,0.5913,1,4,0,55.83778167821147,33.01688030632644,4964.542478450729
44.5,1.1827,1,1,0,55.66495861949024,65.83494655927112,5030.37742501
50.5,0.9856,1,3,0,55.09101664711428,54.29770600739584,5084.675131017396
50.5,0.5913,1,6,0,55.09101664711428,32.57531814343868,5117.250449160834
46.5,0.3942,1,8,0,54.620672713530965,21.531469183673906,5138.781918344508
43.5,0.5913,1,1,0,53.87185138187869,31.854425722104875,5170.636344066613
43.5,0.1971,1,2,0,53.87185138187869,10.61814190736829,5181.254485973981
31.5,1.1827,1,4,0,53.83474402695376,63.670351760678216,5244.924837734659
49.5,0.7884,1,3,0,53.109526868039595,41.871550982762415,5286.796388717422
49.5,0.3942,1,6,0,53.109526868039595,20.935775491381207,5307.732164208804
42.5,0.1971,1,1,0,52.11522260571221,10.271910375585877,5318.004074584389
30.5,0.3942,1,4,0,51.85240065896508,20.440216339764035,5338.444290924153
48.5,1.5769,1,3,0,51.1973278651447,80.73306631054668,5419.1773572347
41.5,0.9856,1,1,0,50.395682632251685,49.669984802347265,5468.847342037047
29.5,1.1827,1,4,0,49.89181550124525,59.007050193322755,5527.85439223037
47.5,0.9856,1,3,0,49.35362644942087,48.642934228549215,5576.497326458919
47.5,0.3942,1,6,0,49.35362644942087,19.45519954636171,5595.952526005281
40.5,0.1971,1,1,0,48.71374332677382,9.601478809707121,5605.554004814988
43.5,0.1971,1,8,0,48.539296576590516,9.567095355245991,5615.121100170234
28.5,0.5913,1,4,0,47.95399876467205,28.355199469550584,5643.476299639784
46.5,0.7884,1,3,0,47.57748282039458,37.510087455599084,5680.986387095383
46.5,0.1971,1,6,0,47.57748282039458,9.377521863899771,5690.363908959283
39.5,1.3798,1,1,0,47.06982048560908,64.9469383060434,5755.310847265327
27.5,0.7884,1,4,0,46.03990544843964,36.297861455549814,5791.608708720876
45.5,0.3942,1,3,0,45.86782530589062,18.081096735582083,5809.689805456459
45.5,0.7884,1,6,0,45.86782530589062,36.162193471164166,5845.851998927623
38.5,0.1971,1,2,0,45.46423662903656,8.961001039583106,5854.8129999672055
38.5,0.1971,1,5,0,45.46423662903656,8.961001039583106,5863.774001006789
41.5,0.5913,1,8,0,44.745593056075855,26.458069174057655,5890.232070180847
44.5,1.3798,1,3,0,44.22346479619834,61.01953672579447,5951.251606906641
44.5,0.5913,1,6,0,44.22346479619834,26.14933473399208,5977.400941640633
26.5,1.3798,1,4,0,44.15043411049679,60.91876898566347,6038.319710626297
37.5,0.3942,1,1,0,43.897224136072815,17.304285754439903,6055.623996380737
40.5,0.5913,1,8,0,42.92841315097775,25.383570696173145,6081.007567076909
43.5,0.7884,1,3,0,42.64310876264411,33.619826948468614,6114.627394025379
43.5,0.1971,1,6,0,42.64310876264411,8.404956737117153,6123.032350762495
36.5,0.7884,1,1,0,42.36892867693178,33.403663368893014,6156.436014131388
36.5,0.1971,1,2,0,42.36892867693178,8.350915842223253,6164.786929973612
36.5,0.1971,1,5,0,42.36892867693178,8.350915842223253,6173.137845815835
25.5,1.1827,1,4,0,42.2864259021103,50.01215591442586,6223.150001730261
39.5,0.3942,1,8,0,41.16462663363235,16.227095818977872,6239.377097549239
42.5,1.774,1,3,0,41.1253747680508,72.95641483852212,6312.3335123877605
35.5,0.9856,1,1,0,40.87941289924396,40.290749353494846,6352.624261741255
35.5,0.3942,1,2,0,40.87941289924396,16.11466456488197,6368.738926306138
24.5,0.9856,1,4,0,40.448663862767425,39.866203103143576,6408.605129409281
41.5,1.3798,1,3,0,39.668803393347275,54.735014922140564,6463.3401443314215
38.5,0.5913,1,8,0,39.45424901708473,23.3292974438022,6486.669441775224
34.5,0.5913,1,1,0,39.42866032494516,23.314166850140076,6509.9836086253645
23.5,1.9711,1,4,0,38.63787246983835,76.15911042529838,6586.142719050662
40.5,0.7884,1,3,0,38.271870520444615,30.173542718318533,6616.316261768981
40.5,0.7884,1,6,0,38.271870520444615,30.173542718318533,6646.4898044873
33.5,0.3942,1,1,0,38.016579416022445,14.986135605796047,6661.475940093095
33.5,0.1971,1,2,0,38.016579416022445,7.4930678028980235,6668.969007895994
33.5,0.3942,1,5,0,38.016579416022445,14.986135605796047,6683.955143501789
